"flight_id";"flight_number";"departure_city";"arrival_city";"departure_time";"arrival_time";"price";"departure_airport";"arrival_airport";"airline_company";"checkin_start_time";"checkin_end_time";"status"
11143;"CA4754";"南京";"青岛";"2025-12-01 09:05:00";"2025-12-01 10:15:00";550.0;"禄口国际机场";"青岛胶东国际机场";"中国国航";"2025-12-01 06:55:00";"2025-12-01 08:55:00";"on Time"
11145;"MU2882";"上海";"南京";"2025-12-01 11:15:00";"2025-12-01 12:10:00";230.0;"浦东国际机场";"禄口国际机场";"东方航空";"2025-12-01 09:05:00";"2025-12-01 11:05:00";"on Time"
11147;"MU6375";"上海";"杭州";"2025-12-01 14:20:00";"2025-12-01 15:10:00";230.0;"浦东国际机场";"萧山国际机场";"东方航空";"2025-12-01 12:10:00";"2025-12-01 14:10:00";"on Time"
11153;"MF7587";"广州";"合肥";"2025-12-01 22:15:00";"2025-12-02 00:30:00";850.0;"白云国际机场";"新桥国际机场";"厦门航空";"2025-12-01 20:05:00";"2025-12-01 22:05:00";"on Time"
11155;"PN6259";"重庆";"南京";"2025-12-01 22:20:00";"2025-12-02 00:20:00";236.0;"江北国际机场";"禄口国际机场";"海航｜西部航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11156;"MU4362";"广州";"杭州";"2025-12-01 22:20:00";"2025-12-02 00:35:00";550.0;"白云国际机场";"萧山国际机场";"东方航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11157;"TV2500";"广州";"杭州";"2025-12-01 22:20:00";"2025-12-02 00:35:00";850.0;"白云国际机场";"萧山国际机场";"西藏航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11158;"3U4840";"广州";"杭州";"2025-12-01 22:20:00";"2025-12-02 00:35:00";750.0;"白云国际机场";"萧山国际机场";"四川航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11159;"EU7700";"广州";"杭州";"2025-12-01 22:20:00";"2025-12-02 00:35:00";650.0;"白云国际机场";"萧山国际机场";"成都航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11160;"G56404";"广州";"杭州";"2025-12-01 22:20:00";"2025-12-02 00:35:00";900.0;"白云国际机场";"萧山国际机场";"华夏航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11161;"MF5899";"广州";"杭州";"2025-12-01 22:20:00";"2025-12-02 00:35:00";500.0;"白云国际机场";"萧山国际机场";"厦门航空";"2025-12-01 20:10:00";"2025-12-01 22:10:00";"on Time"
11162;"HU4151";"重庆";"合肥";"2025-12-01 22:25:00";"2025-12-02 00:15:00";500.0;"江北国际机场";"新桥国际机场";"海航｜海南航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11163;"MF3272";"上海";"武汉";"2025-12-01 22:25:00";"2025-12-02 00:30:00";600.0;"浦东国际机场";"天河国际机场";"厦门航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11164;"MF3217";"青岛";"西安";"2025-12-01 22:25:00";"2025-12-02 00:40:00";550.0;"青岛胶东国际机场";"咸阳国际机场";"厦门航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11165;"GJ3229";"青岛";"西安";"2025-12-01 22:25:00";"2025-12-02 00:40:00";500.0;"青岛胶东国际机场";"咸阳国际机场";"长龙航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11166;"MF3941";"杭州";"西安";"2025-12-01 22:25:00";"2025-12-02 00:40:00";800.0;"萧山国际机场";"咸阳国际机场";"厦门航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11167;"G58510";"重庆";"上海";"2025-12-01 22:25:00";"2025-12-02 00:45:00";600.0;"江北国际机场";"虹桥国际机场";"华夏航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11168;"3U5268";"重庆";"上海";"2025-12-01 22:25:00";"2025-12-02 00:45:00";650.0;"江北国际机场";"虹桥国际机场";"四川航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11169;"HO5654";"重庆";"上海";"2025-12-01 22:25:00";"2025-12-02 00:45:00";850.0;"江北国际机场";"虹桥国际机场";"吉祥航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11170;"MF3780";"重庆";"上海";"2025-12-01 22:25:00";"2025-12-02 00:45:00";650.0;"江北国际机场";"虹桥国际机场";"厦门航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11171;"3U4781";"广州";"郑州";"2025-12-01 22:25:00";"2025-12-02 00:50:00";750.0;"白云国际机场";"新郑国际机场";"四川航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
11172;"CZ7107";"广州";"郑州";"2025-12-01 22:25:00";"2025-12-02 00:50:00";500.0;"白云国际机场";"新郑国际机场";"南方航空";"2025-12-01 20:15:00";"2025-12-01 22:15:00";"on Time"
